,id,new_classification
0,5,4
1,15,4
2,72,0
3,78,3
4,86,1
5,88,1
6,187,1
7,202,4
8,217,1
9,219,1
10,220,1
11,222,1
12,223,1
13,232,1
14,233,1
15,234,1
16,235,1
17,251,1
18,291,0
19,322,0
20,323,0
21,324,0
22,325,0
23,326,0
24,327,0
25,328,0
26,329,0
27,330,0
28,331,0
29,332,0
30,333,0
31,334,0
32,335,0
33,336,0
34,337,0
35,338,0
36,339,0
37,340,0
38,341,0
39,342,0
40,343,0
41,344,0
42,345,0
43,346,0
44,347,0
45,348,0
46,349,0
47,350,0
48,351,0
49,352,0
50,353,0
51,354,0
52,355,0
53,356,0
54,357,0
55,358,0
56,359,0
57,391,0
58,392,0
59,393,0
60,394,0
61,395,0
62,396,0
63,397,0
64,398,0
65,399,0
66,400,0
67,401,0
68,402,0
69,403,0
70,404,0
71,405,0
72,406,0
73,407,0
74,408,0
75,409,0
76,410,0
77,411,0
78,412,0
79,413,0
80,414,0
81,415,0
82,416,0
83,417,0
84,418,0
85,419,0
86,420,0
87,421,0
88,422,0
89,423,0
90,424,0
91,425,0
92,426,0
93,427,0
94,428,0
95,429,0
96,430,0
97,431,4
98,432,0
99,433,0
100,434,0
101,435,0
102,436,0
103,451,4
104,452,4
105,485,2
106,486,2
107,487,2
108,488,2
109,489,2
110,490,2
111,491,2
112,492,2
113,493,2
114,494,2
115,495,2
116,496,2
117,497,2
118,498,2
119,518,2
120,519,2
121,525,0
122,529,0
123,530,0
124,531,0
125,532,4
126,533,4
127,534,4
128,535,4
129,536,4
130,537,1
131,538,2
132,539,2
133,540,4
134,541,4
135,542,4
136,543,4
137,544,4
138,545,4
139,546,0
140,547,2
141,548,2
142,549,2
143,550,2
144,551,0
145,552,0
146,553,4
147,554,4
148,555,4
149,558,4
150,559,4
151,561,4
152,563,4
153,564,4
154,568,2
155,569,2
156,570,2
157,571,2
158,572,2
159,573,2
160,665,2
161,666,0
162,667,0
163,668,0
164,669,0
165,670,0
166,671,0
167,672,0
168,673,0
169,678,0
170,690,5
171,697,0
172,698,0
173,699,0
174,700,0
175,701,2
176,702,0
177,703,0
178,704,0
179,705,0
180,744,2
181,745,2
182,746,2
183,747,2
184,756,0
185,771,4
186,872,0
187,873,4
188,895,0
189,896,0
190,910,0
191,911,0
192,940,4
193,941,4
194,942,4
195,951,4
196,952,0
197,953,0
198,954,4
199,955,4
0,957,5
1,980,0
2,984,4
3,992,1
4,993,1
5,995,1
6,1019,0
7,1074,2
8,1075,2
9,1076,2
10,1077,0
11,1078,0
12,1079,0
13,1080,0
14,1081,0
15,1082,0
16,1083,0
17,1084,0
18,1085,0
19,1086,0
20,1087,0
21,1088,0
22,1089,0
23,1090,0
24,1091,2
25,1137,0
26,1138,0
27,1139,0
28,1140,0
29,1141,0
30,1142,0
31,1143,0
